0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.0,0.0,0.20215634,-0.029649595,0.361186,-0.18867925,0.40161726,-0.3638814,0.40700808,-0.49865228,0.43126684,-0.46361187,0.606469,-0.6361186,0.70619947,-0.7304582,0.7789757,-0.8059299,0.30727762,-0.53638816,0.41509435,-0.7735849,0.49056605,-0.90296495,0.5444744,-1.0,0.15902965,-0.5444744,0.2264151,-0.6334232,0.23450135,-0.50673854,0.21293801,-0.3962264,0.0,-0.5175202,0.08086254,-0.5795148,0.094339624,-0.48787063,0.0754717,-0.39892185
0.0,0.0,0.16701461,-0.008350731,0.26304802,-0.15448852,0.16701461,-0.31941545,0.060542796,-0.43841335,0.39039665,-0.40083507,0.52400833,-0.5762004,0.60334027,-0.70772445,0.6722338,-0.82254696,0.2672234,-0.4697286,0.35281837,-0.697286,0.4091858,-0.8580376,0.46346554,-1.0,0.13987474,-0.46137786,0.12526096,-0.5741127,0.10438413,-0.44258872,0.0960334,-0.348643,0.008350731,-0.40083507,-0.0020876827,-0.47390395,0.025052192,-0.35281837,0.052192066,-0.25678498
0.0,0.0,0.16623376,-0.012987013,0.2987013,-0.14805195,0.2961039,-0.30649352,0.24675325,-0.43116882,0.41298702,-0.4181818,0.5792208,-0.574026,0.67792207,-0.6831169,0.75844157,-0.7818182,0.2935065,-0.49610388,0.41558442,-0.7246753,0.5090909,-0.8727273,0.587013,-1.0,0.14805195,-0.4987013,0.20779221,-0.6181818,0.17922078,-0.46493506,0.14025974,-0.34805194,-0.0025974025,-0.44935066,0.044155844,-0.5116883,0.044155844,-0.3922078,0.028571429,-0.2935065
0.0,0.0,0.20143884,0.0,0.35491607,-0.16546762,0.36930457,-0.34772182,0.30935252,-0.4964029,0.46043167,-0.4172662,0.64028776,-0.5995204,0.7410072,-0.7146283,0.82254195,-0.8201439,0.34532374,-0.50359714,0.47242206,-0.7266187,0.56594723,-0.8800959,0.6378897,-1.0,0.19904077,-0.5155875,0.2589928,-0.70023984,0.2733813,-0.58033574,0.26858515,-0.4556355,0.04796163,-0.47242206,0.105515584,-0.58033574,0.12470024,-0.4916067,0.11990408,-0.3908873
0.0,0.0,-0.15991902,-0.018218623,-0.2834008,-0.12955466,-0.27935222,-0.2672065,-0.23684211,-0.37651822,-0.36639675,-0.39676112,-0.48582995,-0.60728747,-0.548583,-0.7327935,-0.597166,-0.84615386,-0.23076923,-0.4473684,-0.3097166,-0.7125506,-0.34817815,-0.8623482,-0.3805668,-1.0,-0.08299595,-0.4311741,-0.0951417,-0.5951417,-0.09919028,-0.42307693,-0.11133603,-0.28947368,0.06477733,-0.36639675,0.0708502,-0.48178136,0.046558704,-0.38663968,0.01417004,-0.28947368
0.0,0.0,0.14016737,-0.058577407,0.20711297,-0.25941423,0.15690376,-0.40167364,0.07949791,-0.51046026,0.08577406,-0.4707113,0.06485356,-0.6757322,0.039748956,-0.8033473,0.012552301,-0.90585774,-0.023012552,-0.4497908,-0.06276151,-0.7050209,-0.08158996,-0.87238497,-0.10041841,-1.0,-0.11297071,-0.3870293,-0.077405855,-0.5209205,0.018828452,-0.39539748,0.07531381,-0.29288703,-0.19246861,-0.29288703,-0.11924686,-0.38493723,-0.027196653,-0.28870293,0.023012552,-0.20083682
0.0,0.0,0.1797235,-0.032258064,0.31336406,-0.20737328,0.30184332,-0.4124424,0.24423963,-0.56682026,0.44700462,-0.41935483,0.6082949,-0.58986175,0.7050691,-0.7050691,0.781106,-0.8064516,0.32718894,-0.49308756,0.42857143,-0.7258065,0.51152074,-0.875576,0.58064514,-1.0,0.1797235,-0.4953917,0.22350231,-0.640553,0.20046084,-0.48387095,0.17050691,-0.3686636,0.03456221,-0.4516129,0.07603686,-0.5552995,0.06912442,-0.4423963,0.048387095,-0.34792626
0.0,0.0,0.21666667,0.0,0.44,-0.11666667,0.54333335,-0.29,0.5233333,-0.46,0.48666668,-0.4,0.73,-0.5233333,0.87333333,-0.60333335,0.99666667,-0.6766667,0.37,-0.49333334,0.57,-0.7633333,0.71666664,-0.8933333,0.83,-1.0,0.21666667,-0.53,0.42666668,-0.61333334,0.41666666,-0.39,0.35333332,-0.24333334,0.053333335,-0.5233333,0.26666668,-0.5466667,0.27,-0.37666667,0.2,-0.26
0.0,0.0,0.16158536,0.024390243,0.34756097,-0.06402439,0.38109756,-0.17987806,0.3567073,-0.27743903,0.40853658,-0.4054878,0.6219512,-0.5518293,0.7469512,-0.6402439,0.8414634,-0.71036583,0.28658536,-0.4847561,0.4542683,-0.75609756,0.5762195,-0.89634144,0.6585366,-1.0,0.13109756,-0.5030488,0.29268292,-0.63109756,0.3262195,-0.5304878,0.3109756,-0.46341464,-0.030487806,-0.47560975,0.13109756,-0.49390244,0.15853658,-0.36890244,0.12804878,-0.2804878
0.0,0.0,-0.14226805,-0.11134021,-0.1670103,-0.28247422,-0.063917525,-0.4329897,0.02886598,-0.5216495,-0.23505154,-0.42474228,-0.30103093,-0.66391754,-0.33195877,-0.8103093,-0.35670102,-0.9257732,-0.10927835,-0.46391752,-0.14226805,-0.7072165,-0.15051547,-0.8701031,-0.15876289,-1.0,0.010309278,-0.44742268,0.0927835,-0.5979381,0.13195877,-0.51340204,0.13608247,-0.4329897,0.11134021,-0.40412372,0.1628866,-0.5237113,0.1628866,-0.47010309,0.1628866,-0.40618557
